window_id,source_video,scene,true_label,pred_label,confidence,max_hip_velocity,torso_angle_range,low_visibility_frac,max_attention_frame,max_attention_near_edge,bucket,notes
37,Coffee_room_01/video (10),Coffee_room_01,1,0,0.1075191423296928,0.0155227035284042,0.3992363214492798,0.104040404040404,29,True,window_boundary,model's peak attention frame is at the window end — the decisive motion is likely cut by the sliding-window boundary
45,Coffee_room_01/video (10),Coffee_room_01,1,0,0.4059434831142425,0.0274522937834262,0.4948761463165283,0.0494949494949494,2,False,borderline_confidence,"confidence (0.41) sits close to the decision threshold — a genuinely ambiguous window, not a clear model error"
46,Coffee_room_01/video (10),Coffee_room_01,1,0,0.5289410352706909,0.0248564314097166,0.3634757995605469,0.0747474747474747,1,True,window_boundary,model's peak attention frame is at the window start — the decisive motion is likely cut by the sliding-window boundary
47,Coffee_room_01/video (10),Coffee_room_01,1,0,0.5144510269165039,0.0248564314097166,0.3634757995605469,0.0929292929292929,2,False,borderline_confidence,"confidence (0.51) sits close to the decision threshold — a genuinely ambiguous window, not a clear model error"
48,Coffee_room_01/video (10),Coffee_room_01,0,1,0.6271519660949707,0.0248564314097166,0.3634757995605469,0.1,3,False,borderline_confidence,"confidence (0.63) sits close to the decision threshold — a genuinely ambiguous window, not a clear model error"
49,Coffee_room_01/video (10),Coffee_room_01,0,1,0.5728579163551331,0.0248564314097166,0.30983567237854,0.1151515151515151,2,False,borderline_confidence,"confidence (0.57) sits close to the decision threshold — a genuinely ambiguous window, not a clear model error"
50,Coffee_room_01/video (10),Coffee_room_01,0,1,0.5630327463150024,0.0149960527196526,0.2413253784179687,0.1151515151515151,2,False,borderline_confidence,"confidence (0.56) sits close to the decision threshold — a genuinely ambiguous window, not a clear model error"
51,Coffee_room_01/video (10),Coffee_room_01,0,1,0.5561099052429199,0.0149960527196526,0.133873701095581,0.107070707070707,2,False,borderline_confidence,"confidence (0.56) sits close to the decision threshold — a genuinely ambiguous window, not a clear model error"
62,Coffee_room_01/video (10),Coffee_room_01,0,1,0.5514847636222839,0.0135205658152699,0.2831735610961914,0.1494949494949495,2,False,borderline_confidence,"confidence (0.55) sits close to the decision threshold — a genuinely ambiguous window, not a clear model error"
65,Coffee_room_01/video (10),Coffee_room_01,0,1,0.5545433759689331,0.0121778501197695,0.2352631092071533,0.1222222222222222,2,False,borderline_confidence,"confidence (0.55) sits close to the decision threshold — a genuinely ambiguous window, not a clear model error"
